title,locality,price,object_status,image,url
Prodej bytu 3+1 98 m²,"Ústí nad Labem - Střekov, okres Ústí nad Labem",3404000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/1YH4tp.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3068863820
Prodej bytu 3+1 78 m²,Nový Jičín,3301000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/g3o4tm.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2548770124
Prodej bytu 3+1 90 m²,Praha 1 - Staré Město,15885000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gU_y/EzUEzQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1528329292
Prodej bytu 2+kk 55 m²,"Mikulov, okres Břeclav",4192000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QI_Jf/AaTBRDg.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/4261020748
Prodej bytu 4+1 98 m²,Praha 4 - Háje,10382000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/9vO4xd.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1243293004
Prodej bytu 5+kk 136 m²,"Ostrava - Poruba, okres Ostrava-město",6240000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/sAD4sT.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/991634764
Prodej bytu 2+kk 90 m²,Praha 8 - Karlín,14749000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/gfj4sh.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1746609484
Prodej bytu 2+kk 60 m²,"Žatec, okres Louny",1928000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QK_Js/jtgX8A.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/855233868
Prodej bytu 4+kk 112 m²,Praha 2 - Vinohrady,18041000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/XYwFVf.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/4253893708
Prodej bytu 2+kk 51 m²,Praha 3 - Vinohrady,6569000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QK_Jt/qkXzWM.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3769054540
Prodej bytu 4+1 106 m²,"Zdiby - Přemyšlení, okres Praha-východ",11335000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QR_MI/r63u6k.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3398734924
Prodej bytu 1+kk 22 m²,Praha 4 - Písnice,3200000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QP_LI/czvqSp.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/298013772
Prodej bytu 4+1 127 m²,"Plzeň - Jižní Předměstí, okres Plzeň-město",7931000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QR_MK/0owBUVd.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/740808012
Prodej bytu 3+1 73 m²,Chomutov,3517000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QM_Kp/uKwpAO.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2385720652
Prodej bytu 3+kk 100 m²,"Mladá Boleslav - Mladá Boleslav II, okres Mladá Boleslav",8396000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/jPyHx2.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1850197324
Prodej bytu 3+1 94 m²,Praha 8 - Karlín,9871000,Dobrý,"https://d18-a.sdn.cz/d_18/c_img_gZ_z/RAODfQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/446289228
